Fecha;Suma de Generación;Tipo fuente
2021-03-27;0,27477274;Eólica
2021-03-27;0,68041712;Solar
2021-03-28;1,97578555;Biomasa
2021-03-28;0,28860623;Eólica
2021-03-28;0,82505521;Solar
2021-03-29;2,02653771;Biomasa
2021-03-29;0,2796412;Eólica
2021-03-29;0,99062594;Solar
2021-03-30;1,97660462;Biomasa
2021-03-30;0,31725164;Eólica
2021-03-30;0,82676247;Solar
2021-03-31;2,05577052;Biomasa
2021-03-31;0,3044273;Eólica
2021-03-31;0,85610196;Solar
2021-04-01;1,91724801;Biomasa
2021-04-01;0,2728391;Eólica
2021-04-01;0,79674378;Solar
2021-04-02;1,99405866;Biomasa
2021-04-02;0,24666183;Eólica
2021-04-02;0,8495435;Solar
2021-04-03;1,78946274;Biomasa
2021-04-03;0,24779209;Eólica
2021-04-03;0,83715635;Solar
2021-04-04;1,91322745;Biomasa
2021-04-04;0,22142743;Eólica
2021-04-04;0,90420937;Solar
2021-04-05;2,1809104;Biomasa
2021-04-05;0,20508932;Eólica
2021-04-05;0,82145521;Solar
2021-04-06;2,37005003;Biomasa
2021-04-06;0,20065413;Eólica
2021-04-06;0,89256619;Solar
2021-04-07;2,36499727;Biomasa
2021-04-07;0,18437936;Eólica
2021-04-07;0,7149335;Solar
2021-04-08;2,5496651;Biomasa
2021-04-08;0,19408249;Eólica
2021-04-08;0,72721214;Solar
2021-04-09;2,63860426;Biomasa
2021-04-09;0,17973147;Eólica
2021-04-09;0,44995476;Solar
2021-04-10;2,53043424;Biomasa
2021-04-10;0,20280231;Eólica
2021-04-10;0,59760412;Solar
2021-04-11;2,49090798;Biomasa
2021-04-11;0,21743485;Eólica
2021-04-11;0,8634214;Solar
2021-04-12;2,52752636;Biomasa
2021-04-12;0,16925501;Eólica
2021-04-12;0,57052442;Solar
2021-04-13;2,84165359;Biomasa
2021-04-13;0,16497559;Eólica
2021-04-13;0,81526767;Solar
2021-04-14;2,74333357;Biomasa
2021-04-14;0,17663666;Eólica
2021-04-14;0,6366437;Solar
2021-04-15;2,8669914;Biomasa
2021-04-15;0,21197121;Eólica
