Fecha;Tipo fuente;Suma de Generación
2021-07-13;Hidráulica;179,8016403
2021-07-14;Combustible fósil;29,32834104
2021-07-14;Hidráulica;180,8882222
2021-07-15;Combustible fósil;28,44718366
2021-07-15;Hidráulica;182,9429183
2021-07-16;Combustible fósil;29,01509742
2021-07-16;Hidráulica;182,0564992
2021-07-17;Combustible fósil;29,79055254
2021-07-17;Hidráulica;172,1729256
2021-07-18;Combustible fósil;27,0970124
2021-07-18;Hidráulica;157,6963596
2021-07-19;Combustible fósil;29,28222312
2021-07-19;Hidráulica;178,8070749
2021-07-20;Combustible fósil;27,60111628
2021-07-20;Hidráulica;168,6888716
2021-07-21;Combustible fósil;31,24587896
2021-07-21;Hidráulica;182,9693475
2021-07-22;Combustible fósil;34,62434467
2021-07-22;Hidráulica;180,1931227
2021-07-23;Combustible fósil;33,70233563
2021-07-23;Hidráulica;182,4257817
2021-07-24;Combustible fósil;29,98850077
2021-07-24;Hidráulica;171,7636001
2021-07-25;Combustible fósil;26,7425016
2021-07-25;Hidráulica;149,2706178
2021-07-26;Combustible fósil;27,86928528
2021-07-26;Hidráulica;175,4272375
2021-07-27;Combustible fósil;30,10380791
2021-07-27;Hidráulica;175,3313938
2021-07-28;Combustible fósil;29,02790754
2021-07-28;Hidráulica;178,4736791
2021-07-29;Combustible fósil;30,53563655
2021-07-29;Hidráulica;180,5203007
2021-07-30;Combustible fósil;31,4928239
2021-07-30;Hidráulica;178,5807456
2021-07-31;Combustible fósil;30,82070665
2021-07-31;Hidráulica;172,8146892
2021-08-01;Combustible fósil;28,59053084
2021-08-01;Hidráulica;155,875034
2021-08-02;Combustible fósil;31,58028561
2021-08-02;Hidráulica;171,4918137
2021-08-03;Combustible fósil;30,93445334
2021-08-03;Hidráulica;173,3306249
2021-08-04;Combustible fósil;28,72448429
2021-08-04;Hidráulica;177,6937793
2021-08-05;Combustible fósil;29,58389122
2021-08-05;Hidráulica;181,7776214
2021-08-06;Combustible fósil;31,23669837
2021-08-06;Hidráulica;179,7330977
2021-08-07;Combustible fósil;30,13827553
2021-08-07;Hidráulica;164,2315412
2021-08-08;Combustible fósil;28,52650313
2021-08-08;Hidráulica;156,1320417
2021-08-09;Combustible fósil;35,98080814
2021-08-09;Hidráulica;174,0829737
2021-08-10;Combustible fósil;32,54344646
2021-08-10;Hidráulica;178,4360851
2021-08-11;Combustible fósil;28,10812152
2021-08-11;Hidráulica;182,5352761
2021-08-12;Combustible fósil;30,70995336
2021-08-12;Hidráulica;179,4868575
2021-08-13;Combustible fósil;28,59356449
2021-08-13;Hidráulica;181,7093245
2021-08-14;Combustible fósil;27,05697329
2021-08-14;Hidráulica;173,0727851
2021-08-15;Combustible fósil;27,97989347
2021-08-15;Hidráulica;149,4668923
2021-08-16;Combustible fósil;27,93308336
2021-08-16;Hidráulica;154,63528
2021-08-17;Combustible fósil;28,94906599
2021-08-17;Hidráulica;173,3112205
2021-08-18;Combustible fósil;30,45682415
2021-08-18;Hidráulica;175,7182514
2021-08-19;Combustible fósil;29,17426136
2021-08-19;Hidráulica;178,1913227
2021-08-20;Combustible fósil;27,25824118
2021-08-20;Hidráulica;178,4432166
2021-08-21;Combustible fósil;30,21856946
2021-08-21;Hidráulica;168,5824326
2021-08-22;Combustible fósil;24,62020922
2021-08-22;Hidráulica;158,8727393
2021-08-23;Combustible fósil;28,08124207
2021-08-23;Hidráulica;180,1670958
2021-08-24;Combustible fósil;29,75475444
2021-08-24;Hidráulica;176,2226767
2021-08-25;Combustible fósil;29,97040941
2021-08-25;Hidráulica;176,2095384
2021-08-26;Combustible fósil;23,58430078
2021-08-26;Hidráulica;184,6036071
2021-08-27;Combustible fósil;25,02000581
2021-08-27;Hidráulica;185,6918224
2021-08-28;Combustible fósil;27,05142524
2021-08-28;Hidráulica;178,9412653
2021-08-29;Combustible fósil;25,20578034
2021-08-29;Hidráulica;161,8083783
2021-08-30;Combustible fósil;26,77066208
2021-08-30;Hidráulica;177,675152
2021-08-31;Combustible fósil;25,34148681
2021-08-31;Hidráulica;181,0833907
2021-09-01;Combustible fósil;23,58865277
2021-09-01;Hidráulica;188,0897405
2021-09-02;Combustible fósil;25,72914819
2021-09-02;Hidráulica;194,4555023
2021-09-03;Combustible fósil;28,03931235
2021-09-03;Hidráulica;196,4007272
2021-09-04;Combustible fósil;28,30891953
2021-09-04;Hidráulica;182,366759
2021-09-05;Combustible fósil;22,94109269
2021-09-05;Hidráulica;167,5581974
2021-09-06;Combustible fósil;25,0577427
2021-09-06;Hidráulica;185,4490852
2021-09-07;Combustible fósil;28,33580489
2021-09-07;Hidráulica;177,6050631
2021-09-08;Combustible fósil;27,32294189
2021-09-08;Hidráulica;182,5812648
2021-09-09;Combustible fósil;30,72683834
2021-09-09;Hidráulica;190,7232766
2021-09-10;Combustible fósil;31,06552585
2021-09-10;Hidráulica;193,2783432
2021-09-11;Combustible fósil;35,1192561
2021-09-11;Hidráulica;173,4432387
2021-09-12;Combustible fósil;26,46992547
2021-09-12;Hidráulica;163,0748097
2021-09-13;Combustible fósil;28,16349289
2021-09-13;Hidráulica;182,5341399
2021-09-14;Combustible fósil;28,84316521
2021-09-14;Hidráulica;181,614306
2021-09-15;Combustible fósil;30,85915977
2021-09-15;Hidráulica;184,7546373
2021-09-16;Combustible fósil;31,14252935
2021-09-16;Hidráulica;188,9613676
2021-09-17;Combustible fósil;31,68870955
2021-09-17;Hidráulica;193,9683301
2021-09-18;Combustible fósil;29,49582344
2021-09-18;Hidráulica;185,8711944
2021-09-19;Combustible fósil;26,08921668
2021-09-19;Hidráulica;166,8127507
2021-09-20;Combustible fósil;28,57773068
2021-09-20;Hidráulica;193,1184261
2021-09-21;Combustible fósil;30,81523368
2021-09-21;Hidráulica;191,0262401
2021-09-22;Combustible fósil;32,33242939
2021-09-22;Hidráulica;187,6233562
2021-09-23;Combustible fósil;28,91717159
2021-09-23;Hidráulica;184,9669979
2021-09-24;Combustible fósil;27,32415546
2021-09-24;Hidráulica;186,5540599
2021-09-25;Combustible fósil;28,6645667
2021-09-25;Hidráulica;177,2788994
2021-09-26;Combustible fósil;26,05851681
2021-09-26;Hidráulica;163,359696
2021-09-27;Combustible fósil;30,67195405
2021-09-27;Hidráulica;185,0715331
2021-09-28;Combustible fósil;31,37196088
2021-09-28;Hidráulica;189,7015112
2021-09-29;Combustible fósil;29,23054133
2021-09-29;Hidráulica;191,0973616
2021-09-30;Combustible fósil;29,257886
2021-09-30;Hidráulica;187,5904945
2021-10-01;Combustible fósil;31,52812654
2021-10-01;Hidráulica;184,8579823
2021-10-02;Combustible fósil;27,81684089
2021-10-02;Hidráulica;184,0863597
2021-10-03;Combustible fósil;31,43236656
2021-10-03;Hidráulica;159,936314
2021-10-04;Combustible fósil;29,20685241
2021-10-04;Hidráulica;189,1593426
2021-10-05;Combustible fósil;31,80786067
2021-10-05;Hidráulica;190,1189413
2021-10-06;Combustible fósil;30,26069126
